BL8 4HG,"15 Tor Avenue, Greenmount, Bury, Greater Manchester",4 
BL8 4HL,"18 Leigh Close, Tottington, Bury, Greater Manchester",-1
BL8 4HH,"5 Chisholme Close, Greenmount, Bury, Greater Manchester",3 
BL8 4HB,"419 Holcombe Road, Greenmount, Bury, Greater Manchester",4 
BL8 4HA,"25 Greenmount Drive, Greenmount, Bury, Greater Manchester",6 
BL8 4HE,"2 Whitebirk Close, Greenmount, Bury, Greater Manchester",5 
BL8 4HZ,"15 Bolton Road, Hawkshaw, Bury, Greater Manchester",5 
BL8 4HG,"6 Tor Avenue, Greenmount, Bury, Greater Manchester",5 
BL8 4HT,"Greenhalgh Fold Cottage, Whipney Lane, Greenmount, Bury, Greater Manchester",-1
BL8 4HA,"23 Greenmount Drive, Greenmount, Bury, Greater Manchester",4 
BL8 4HQ,"3 Andrew Close, Greenmount, Bury, Greater Manchester",3 
BL8 4HE,"1 Whitebirk Close, Greenmount, Bury, Greater Manchester",4 
BL8 4HA,"12 Greenmount Drive, Greenmount, Bury, Greater Manchester",5 
BL8 4HP,"The Manor House, Hollymount Lane, Greenmount, Bury, Greater Manchester",-1
BL8 4HL,"7 Leigh Close, Tottington, Bury, Greater Manchester",2 
BL8 4HL,"7 Leigh Close, Tottington, Bury, Greater Manchester",2 
BL8 4HF,"404 Holcombe Road, Greenmount, Bury, Greater Manchester",4 
BL8 4HP,"Claremont, Hollymount Lane, Greenmount, Bury, Greater Manchester",5 
BL8 4HA,"16 Greenmount Drive, Greenmount, Bury, Greater Manchester",5 
BL8 4HA,"33 Greenmount Drive, Greenmount, Bury, Greater Manchester",4 
BL8 4HN,"1 Greenmount Close, Greenmount, Bury, Greater Manchester",5 
BL8 4HZ,"3 Bolton Road, Hawkshaw, Bury, Greater Manchester",-1
BL8 4HE,"12 Whitebirk Close, Greenmount, Bury, Greater Manchester",5 
BL8 4HQ,"11 Andrew Close, Greenmount, Bury, Greater Manchester",3 
BL8 4HL,"5 Leigh Close, Tottington, Bury, Greater Manchester",4 
BL8 4HQ,"17 Andrew Close, Greenmount, Bury, Greater Manchester",3 
BL8 4HD,"Hunters Moon, Holhouse Lane, Greenmount, Bury, Greater Manchester",-1
BL8 4HG,"23 Tor Avenue, Greenmount, Bury, Greater Manchester",5 
BL8 4HE,"4 Whitebirk Close, Greenmount, Bury, Greater Manchester",-1
